_id,cam_id,entry_count,timestamp
ObjectId(5ba9c8daf15cbb1dcd8c103e),206,1,2018-09-25 05:34:18
ObjectId(5ba9c994f15cbb1dcd8c1089),179,2,2018-09-25 05:37:24
ObjectId(5ba9c996f15cbb1dcd8c108a),180,2,2018-09-25 05:37:26
ObjectId(5ba9c9c4f15cbb1dcd8c109b),200,1,2018-09-25 05:38:12
ObjectId(5ba9c9c7f15cbb1dcd8c109c),201,1,2018-09-25 05:38:15
ObjectId(5ba9c9c9f15cbb1dcd8c109d),202,4,2018-09-25 05:38:17
ObjectId(5ba9ca8cf15cbb1dcd8c10ec),179,1,2018-09-25 05:41:32
ObjectId(5ba9ca8ef15cbb1dcd8c10ed),180,3,2018-09-25 05:41:34
ObjectId(5ba9cad3f15cbb1dcd8c1107),209,1,2018-09-25 05:42:43
ObjectId(5ba9cb84f15cbb1dcd8c114f),179,1,2018-09-25 05:45:40
ObjectId(5ba9cbb8f15cbb1dcd8c1163),202,1,2018-09-25 05:46:32
ObjectId(5ba9cbc0f15cbb1dcd8c1166),205,1,2018-09-25 05:46:40
ObjectId(5ba9ccaff15cbb1dcd8c11c6),202,4,2018-09-25 05:50:39
ObjectId(5ba9cda7f15cbb1dcd8c1227),200,1,2018-09-25 05:54:47
ObjectId(5ba9cdb8f15cbb1dcd8c122d),206,1,2018-09-25 05:55:04
ObjectId(5ba9cdbdf15cbb1dcd8c122f),208,1,2018-09-25 05:55:09
ObjectId(5ba9cdbff15cbb1dcd8c1230),209,3,2018-09-25 05:55:11
ObjectId(5ba9cea5f15cbb1dcd8c128b),201,1,2018-09-25 05:59:01
ObjectId(5ba9cff6f15cbb1dcd8c12db),179,1,2018-09-25 06:04:38
ObjectId(5ba9cffaf15cbb1dcd8c12dc),180,3,2018-09-25 06:04:42
ObjectId(5ba9d038f15cbb1dcd8c12ee),201,6,2018-09-25 06:05:44
ObjectId(5ba9d03bf15cbb1dcd8c12ef),202,5,2018-09-25 06:05:47
ObjectId(5ba9d13ef15cbb1dcd8c133e),179,1,2018-09-25 06:10:06
ObjectId(5ba9d142f15cbb1dcd8c133f),180,1,2018-09-25 06:10:10
ObjectId(5ba9d184f15cbb1dcd8c1351),201,3,2018-09-25 06:11:16
ObjectId(5ba9d187f15cbb1dcd8c1352),202,2,2018-09-25 06:11:19
ObjectId(5ba9d18bf15cbb1dcd8c1353),203,1,2018-09-25 06:11:23
ObjectId(5ba9d19ef15cbb1dcd8c1359),209,1,2018-09-25 06:11:42
ObjectId(5ba9d274f15cbb1dcd8c139b),170,1,2018-09-25 06:15:16
ObjectId(5ba9d27af15cbb1dcd8c139c),172,1,2018-09-25 06:15:22
ObjectId(5ba9d293f15cbb1dcd8c13a1),179,2,2018-09-25 06:15:47
ObjectId(5ba9d296f15cbb1dcd8c13a2),180,1,2018-09-25 06:15:50
ObjectId(5ba9d2e6f15cbb1dcd8c13b4),201,2,2018-09-25 06:17:10
ObjectId(5ba9d2eaf15cbb1dcd8c13b5),202,1,2018-09-25 06:17:14
ObjectId(5ba9d2eef15cbb1dcd8c13b6),203,1,2018-09-25 06:17:18
ObjectId(5ba9d307f15cbb1dcd8c13bc),209,1,2018-09-25 06:17:43
ObjectId(5ba9d30bf15cbb1dcd8c13bd),210,1,2018-09-25 06:17:47
ObjectId(5ba9d44ff15cbb1dcd8c1405),180,2,2018-09-25 06:23:11
ObjectId(5ba9d488f15cbb1dcd8c1417),200,1,2018-09-25 06:24:08
ObjectId(5ba9d48cf15cbb1dcd8c1418),201,2,2018-09-25 06:24:12
ObjectId(5ba9d496f15cbb1dcd8c141b),204,1,2018-09-25 06:24:22
ObjectId(5ba9d581f15cbb1dcd8c1461),169,1,2018-09-25 06:28:17
ObjectId(5ba9d5e4f15cbb1dcd8c147c),201,1,2018-09-25 06:29:56
ObjectId(5ba9d5e7f15cbb1dcd8c147d),202,2,2018-09-25 06:29:59
ObjectId(5ba9d5eaf15cbb1dcd8c147e),203,1,2018-09-25 06:30:02
ObjectId(5ba9d5f4f15cbb1dcd8c1481),206,3,2018-09-25 06:30:12
ObjectId(5ba9d6eef15cbb1dcd8c14cc),179,3,2018-09-25 06:34:22
ObjectId(5ba9d6f1f15cbb1dcd8c14cd),180,2,2018-09-25 06:34:25
ObjectId(5ba9d728f15cbb1dcd8c14df),200,1,2018-09-25 06:35:20
ObjectId(5ba9d72cf15cbb1dcd8c14e0),201,2,2018-09-25 06:35:24
ObjectId(5ba9d72ff15cbb1dcd8c14e1),202,1,2018-09-25 06:35:27
ObjectId(5ba9d732f15cbb1dcd8c14e2),203,3,2018-09-25 06:35:30
ObjectId(5ba9d735f15cbb1dcd8c14e3),204,2,2018-09-25 06:35:33
ObjectId(5ba9d738f15cbb1dcd8c14e4),205,1,2018-09-25 06:35:36
ObjectId(5ba9d742f15cbb1dcd8c14e7),208,1,2018-09-25 06:35:46
ObjectId(5ba9d875f15cbb1dcd8c1531),180,3,2018-09-25 06:40:53
ObjectId(5ba9d8c1f15cbb1dcd8c1544),201,2,2018-09-25 06:42:09
ObjectId(5ba9d8c5f15cbb1dcd8c1545),202,2,2018-09-25 06:42:13
ObjectId(5ba9d9e5f15cbb1dcd8c1594),179,2,2018-09-25 06:47:01
ObjectId(5ba9d9e8f15cbb1dcd8c1595),180,1,2018-09-25 06:47:04
ObjectId(5ba9da29f15cbb1dcd8c15a8),201,1,2018-09-25 06:48:09
ObjectId(5ba9da30f15cbb1dcd8c15aa),203,1,2018-09-25 06:48:16
ObjectId(5ba9da34f15cbb1dcd8c15ab),204,1,2018-09-25 06:48:20
