_id,cam_id,entry_count,timestamp
ObjectId(5b9f8c16f15cbb3902452372),195,3,2018-09-17 11:12:22
ObjectId(5b9f8dbef15cbb3902452410),183,1,2018-09-17 11:19:26
ObjectId(5b9f8dc0f15cbb3902452411),184,1,2018-09-17 11:19:28
ObjectId(5b9f8dc2f15cbb3902452412),185,1,2018-09-17 11:19:30
ObjectId(5b9f8dd1f15cbb3902452416),191,1,2018-09-17 11:19:45
ObjectId(5b9f8dd9f15cbb390245241a),195,2,2018-09-17 11:19:53
ObjectId(5b9f9141f15cbb3902452561),184,1,2018-09-17 11:34:25
ObjectId(5b9f9143f15cbb3902452562),185,1,2018-09-17 11:34:27
ObjectId(5b9f9151f15cbb3902452566),191,1,2018-09-17 11:34:41
ObjectId(5b9f9302f15cbb3902452609),184,1,2018-09-17 11:41:54
ObjectId(5b9f9304f15cbb390245260a),185,1,2018-09-17 11:41:56
ObjectId(5b9f94c4f15cbb39024526b3),185,2,2018-09-17 11:49:24
ObjectId(5b9f9a05f15cbb39024528ae),185,1,2018-09-17 12:11:49
ObjectId(5b9f9bc5f15cbb3902452957),185,1,2018-09-17 12:19:17
ObjectId(5b9f9f46f15cbb3902452aa9),185,1,2018-09-17 12:34:14
ObjectId(5b9fa2d3f15cbb3902452bfe),190,1,2018-09-17 12:49:23
ObjectId(5b9fa2d5f15cbb3902452bff),191,1,2018-09-17 12:49:25
ObjectId(5b9fa487f15cbb3902452ca4),185,1,2018-09-17 12:56:39
ObjectId(5b9fa496f15cbb3902452ca8),191,2,2018-09-17 12:56:54
ObjectId(5b9fa9ddf15cbb3902452ea3),191,1,2018-09-17 13:19:25
ObjectId(5b9fab8df15cbb3902452f47),184,1,2018-09-17 13:26:37
ObjectId(5b9fab8ff15cbb3902452f48),185,1,2018-09-17 13:26:39
ObjectId(5b9fab9cf15cbb3902452f4b),190,2,2018-09-17 13:26:52
ObjectId(5b9fab9ef15cbb3902452f4c),191,1,2018-09-17 13:26:54
ObjectId(5b9fb0e8f15cbb3902453143),185,1,2018-09-17 13:49:28
ObjectId(5b9fb806f15cbb39024533e7),185,1,2018-09-17 14:19:50
ObjectId(5b9fb814f15cbb39024533eb),191,1,2018-09-17 14:20:04
ObjectId(5b9fbf18f15cbb390245368b),185,1,2018-09-17 14:50:00
ObjectId(5b9fbf24f15cbb390245368e),190,2,2018-09-17 14:50:12
ObjectId(5b9fc62af15cbb390245392f),185,1,2018-09-17 15:20:10
ObjectId(5b9fc7ebf15cbb39024539d8),185,2,2018-09-17 15:27:39
ObjectId(5b9fcd3bf15cbb3902453bd7),191,1,2018-09-17 15:50:19
ObjectId(5b9fcefbf15cbb3902453c80),191,1,2018-09-17 15:57:47
ObjectId(5b9fd7b4f15cbb3902453fc8),184,2,2018-09-17 16:35:00
ObjectId(5b9fdec6f15cbb390245426c),184,1,2018-09-17 17:05:10
ObjectId(5b9fe24ff15cbb39024543be),184,1,2018-09-17 17:20:15
ObjectId(5b9fe251f15cbb39024543bf),185,1,2018-09-17 17:20:17
ObjectId(5b9fe5daf15cbb3902454511),185,3,2018-09-17 17:35:22
ObjectId(5b9fe96df15cbb3902454663),185,1,2018-09-17 17:50:37
ObjectId(5b9feb33f15cbb390245470b),184,1,2018-09-17 17:58:11
ObjectId(5b9feb35f15cbb390245470c),185,1,2018-09-17 17:58:13
ObjectId(5b9fecfcf15cbb39024547b4),184,2,2018-09-17 18:05:48
ObjectId(5b9fed0af15cbb39024547b8),190,1,2018-09-17 18:06:02
ObjectId(5b9feec5f15cbb390245485d),184,1,2018-09-17 18:13:25
ObjectId(5b9ff08ff15cbb3902454907),185,1,2018-09-17 18:21:03
ObjectId(5b9ff258f15cbb39024549b0),185,1,2018-09-17 18:28:40
ObjectId(5b9ff269f15cbb39024549b5),192,1,2018-09-17 18:28:57
ObjectId(5b9ff7a6f15cbb3902454ba9),183,2,2018-09-17 18:51:18
ObjectId(5b9ff7aaf15cbb3902454bab),185,1,2018-09-17 18:51:22
ObjectId(5b9ffb30f15cbb3902454cfb),183,2,2018-09-17 19:06:24
ObjectId(5b9ffb34f15cbb3902454cfd),185,1,2018-09-17 19:06:28
ObjectId(5ba00083f15cbb3902454ef8),185,4,2018-09-17 19:29:07
ObjectId(5ba00258f15cbb3902454fa6),192,1,2018-09-17 19:36:56
ObjectId(5ba00ce2f15cbb3902455397),185,1,2018-09-17 20:21:54
ObjectId(5ba00ea6f15cbb3902455440),185,2,2018-09-17 20:29:26
ObjectId(5ba00eb5f15cbb3902455444),191,1,2018-09-17 20:29:41
ObjectId(5ba00ebdf15cbb3902455448),195,1,2018-09-17 20:29:49
ObjectId(5ba02762f15cbb3902455d7d),184,1,2018-09-17 22:14:58
ObjectId(5ba05e2cf15cbb39024571f4),184,1,2018-09-18 02:08:44
ObjectId(5ba06553f15cbb39024574a1),195,1,2018-09-18 02:39:15
ObjectId(5ba066fcf15cbb3902457541),184,2,2018-09-18 02:46:20
ObjectId(5ba06714f15cbb390245754a),195,1,2018-09-18 02:46:44
ObjectId(5ba068bff15cbb39024575eb),185,1,2018-09-18 02:53:51
ObjectId(5ba068cff15cbb39024575f0),192,1,2018-09-18 02:54:07
ObjectId(5ba068d5f15cbb39024575f3),195,1,2018-09-18 02:54:13
ObjectId(5ba06a8df15cbb3902457698),191,2,2018-09-18 03:01:33
ObjectId(5ba07352f15cbb39024579e9),195,2,2018-09-18 03:38:58
ObjectId(5ba07c0bf15cbb3902457d33),192,1,2018-09-18 04:16:11
ObjectId(5ba07dbaf15cbb3902457dd7),185,1,2018-09-18 04:23:22
ObjectId(5ba07f7af15cbb3902457e7f),184,1,2018-09-18 04:30:50
ObjectId(5ba0813df15cbb3902457f29),185,1,2018-09-18 04:38:21
ObjectId(5ba082fdf15cbb3902457fd2),185,1,2018-09-18 04:45:49
ObjectId(5ba08730f15cbb7347878b47),195,2,2018-09-18 05:03:44
ObjectId(5ba088edf15cbb7347878bf0),195,1,2018-09-18 05:11:09
ObjectId(5ba08aa1f15cbb7347878c95),191,1,2018-09-18 05:18:25
ObjectId(5ba08e0ff15cbb7347878de1),183,1,2018-09-18 05:33:03
ObjectId(5ba0934cf15cbb7347878fdc),183,2,2018-09-18 05:55:24
ObjectId(5ba09350f15cbb7347878fde),185,1,2018-09-18 05:55:28
ObjectId(5ba0951df15cbb734787908b),191,1,2018-09-18 06:03:09
